English names: 426 tickers
Hebrew names:  170 tickers
Total unique tickers: 519
Already validated: 0 tickers
  [ 142/519] ELCO.TA            OK  price=13570.0
  [ 143/519] ELCRE.TA           OK  price=5398.0
  [ 144/519] ELDT.TA            OK  price=697.7000122070312
  [ 145/519] ELLO.TA            OK  price=7836.0
  [ 146/519] ELMR.TA            OK  price=2296.0
  [ 147/519] ELRN.TA            OK  price=495.3999938964844
  [ 148/519] ELSPC.TA           OK  price=467.0
  [ 149/519] ELTR.TA            OK  price=9360.0
  [ 150/519] ELWS.TA            OK  price=4835.0
  [ 151/519] EMCO.TA            OK  price=710.2000122070312
  [ 152/519] EMDV.TA            OK  price=2342.0
  [ 153/519] EMITF.TA           OK  price=476.3999938964844
  [ 154/519] ENLT.TA            OK  price=20800.0
  [ 155/519] ENLV.TA            OK  price=295.6000061035156
  [ 156/519] ENOG.TA            OK  price=3590.0
  [ 157/519] ENRG.TA            OK  price=1872.0
  [ 158/519] EPIT.TA            OK  price=877.0
  [ 159/519] EQTL.TA            OK  price=13590.0
  [ 160/519] ERKA.TA            OK  price=20.600000381469727
  [ 161/519] ESLT.TA            OK  price=277700.0
  [ 162/519] ETGA.TA            OK  price=2808.0
  [ 163/519] EVGN.TA            OK  price=256.8999938964844
  [ 164/519] EXPO.TA            OK  price=8122.0
  [ 165/519] FBRT.TA            OK  price=26180.0
  [ 166/519] FEAT.TA            OK  price=175.8000030517578
  [ 167/519] FGAS.TA            OK  price=966.7000122070312
  [ 168/519] FIBI.TA            OK  price=24440.0
  [ 169/519] FIBIH.TA           OK  price=30810.0
  [ 170/519] FORTY.TA           OK  price=39580.0
  [ 171/519] FOX.TA             OK  price=27220.0
  [ 172/519] FRDN.TA            OK  price=6648.0
  [ 173/519] FRSX.TA            OK  price=8.300000190734863
  [ 174/519] FTAL.TA            OK  price=57900.0
  [ 175/519] G107.TA            OK  price=90.0
  [ 176/519] GABY.TA            OK  price=7571.0
  [ 177/519] GAD.TA             OK  price=1340.0
  [ 178/519] GAGR.TA            OK  price=1097.0
$GAON.TA: possibly delisted; no price data found  (period=1y) (Yahoo error = "No data found, symbol may be delisted")
$GAON.TA: possibly delisted; no price data found  (period=5d) (Yahoo error = "No data found, symbol may be delisted")
  [ 179/519] GAON.TA            XX  price=None
  [ 180/519] GCT.TA             OK  price=1211.0
  [ 181/519] GEFR.TA            OK  price=83.0999984741211
  [ 182/519] GILT.TA            OK  price=5258.0
  [ 183/519] GIVO.TA            OK  price=29.600000381469727
  [ 184/519] GIX.TA             OK  price=2221.0
  [ 185/519] GKL.TA             OK  price=92.5999984741211
  [ 186/519] GLDE.TA            OK  price=265.1000061035156
  [ 187/519] GLRS.TA            OK  price=28770.0
  [ 188/519] GLTL.TA            OK  price=187.89999389648438
  [ 189/519] GNCL.TA            OK  price=117.9000015258789
  [ 190/519] GNGR.TA            OK  price=738.7999877929688
  [ 191/519] GNRS.TA            OK  price=246.5
  [ 192/519] GOHO.TA            OK  price=1053.0
  [ 193/519] GOLD.TA            OK  price=23730.0
  [ 194/519] GOLF.TA            OK  price=695.0
  [ 195/519] GOSS.TA            OK  price=1132.0
  [ 196/519] GOTO.TA            OK  price=328.6000061035156
  [ 197/519] GRIN.TA            OK  price=826.7000122070312
  [ 198/519] GSFI.TA            OK  price=2716.0
  [ 199/519] GVYM.TA            OK  price=3748.0
  [ 200/519] HAMAT.TA           OK  price=1630.0
  [ 201/519] HARL.TA            OK  price=16850.0
  [ 202/519] HGG.TA             OK  price=2528.0
  [ 203/519] HGGE.TA            OK  price=1354.0
  [ 204/519] HIPR.TA            OK  price=2550.0
  [ 205/519] HLAN.TA            OK  price=19400.0
  [ 206/519] HLMS.TA            OK  price=651.7000122070312
  [ 207/519] HMAM.TA            OK  price=553.5
  [ 208/519] HMGS.TA            OK  price=57.70000076293945
  [ 209/519] HOD.TA             OK  price=4394.0
  [ 210/519] HRON.TA            OK  price=254600.0
  [ 211/519] IARG.TA            OK  price=102.6
  [ 212/519] IBI.TA             OK  price=33100.0
  [ 213/519] IBIU.TA            OK  price=1339.0
  [ 214/519] ICHO.TA            OK  price=90.19999694824219
  [ 215/519] ICL.TA             OK  price=1665.0
  [ 216/519] ICON.TA            OK  price=622.5999755859375
  [ 217/519] IDIN.TA            OK  price=22060.0
  [ 218/519] IDMO.TA            OK  price=372.5
  [ 219/519] IDNT.TA            OK  price=193.3000030517578
  [ 220/519] IES.TA             OK  price=55470.0
  [ 221/519] ILCO.TA            OK  price=92600.0
  [ 222/519] ILDC.TA            OK  price=3557.0
  [ 223/519] ILDR.TA            OK  price=1216.0
  [ 224/519] ILX.TA             OK  price=6073.0
  [ 225/519] IMCO.TA            OK  price=6949.0
$IMED.TA: possibly delisted; no price data found  (period=5d)
  [ 226/519] IMED.TA            OK  price=113.0
  [ 227/519] INCR.TA            OK  price=240.89999389648438
  [ 228/519] ININ.TA            OK  price=265.20001220703125
  [ 229/519] INRM.TA            OK  price=2545.0
  [ 230/519] INTR.TA            OK  price=6942.0
  [ 231/519] IPO.TA             OK  price=3781.0
  [ 232/519] ISCD.TA            OK  price=1450.0
  [ 233/519] ISCN.TA            OK  price=1811.0
  [ 234/519] ISHI.TA            OK  price=14230.0
  [ 235/519] ISHO.TA            OK  price=31000.0
  [ 236/519] ISI.TA             OK  price=1485.0
  [ 237/519] ISOP.TA            OK  price=154.10000610351562
  [ 238/519] ISRA.TA            OK  price=228.89999389648438
  [ 239/519] ISRG.TA            OK  price=134.6999969482422
  [ 240/519] ISRO.TA            OK  price=14640.0
  [ 241/519] ISRS.TA            OK  price=81090.0
  [ 242/519] ISTA.TA            OK  price=10670.0
  [ 243/519] JBNK.TA            OK  price=2105.0
  [ 244/519] JCFN.TA            OK  price=2933.0
  [ 245/519] JEEN.TA            OK  price=478.79998779296875
$JNGO.TA: possibly delisted; no price data found  (period=5d)
  [ 246/519] JNGO.TA            OK  price=315.8999938964844
  [ 247/519] KAFR.TA            OK  price=2865.0
  [ 248/519] KARE.TA            OK  price=571.2000122070312
  [ 249/519] KEN.TA             OK  price=26220.0
  [ 250/519] KLIL.TA            OK  price=19200.0
  [ 251/519] KMDA.TA            OK  price=2592.0
  [ 252/519] KNFM.TA            OK  price=1757.0
  [ 253/519] KRDI.TA            OK  price=525.9000244140625
  [ 254/519] KRUR.TA            OK  price=8591.0
  [ 255/519] KSTN.TA            OK  price=1847.0
  [ 256/519] LAHAV.TA           OK  price=1092.0
  [ 257/519] LAPD.TA            OK  price=9048.0
  [ 258/519] LBRA.TA            OK  price=1926.0
  [ 259/519] LBTL.TA            OK  price=1927.0
  [ 260/519] LCTX.TA            OK  price=532.2000122070312
  [ 261/519] LEOF.TA            OK  price=418.5
  [ 262/519] LEVI.TA            OK  price=48260.0
  [ 263/519] LHIS.TA            OK  price=1176.0
$LODZ.TA: possibly delisted; no price data found  (period=5d)
  [ 264/519] LODZ.TA            OK  price=2338.0
  [ 265/519] LPHL.TA            OK  price=138.6999969482422
  [ 266/519] LPSN.TA            OK  price=794.7999877929688
  [ 267/519] LSCO.TA            OK  price=429.5
  [ 268/519] LUDN.TA            OK  price=1294.0
  [ 269/519] LUDT.TA            OK  price=478.0
  [ 270/519] LUMI.TA            OK  price=7011.0
  [ 271/519] LURO.TA            OK  price=3982.0
  [ 272/519] LUZC.TA            OK  price=56.0
  [ 273/519] LUZN.TA            OK  price=501.8999938964844
  [ 274/519] MAXO.TA            OK  price=2744.0
  [ 275/519] MCLL.TA            OK  price=1415.0
  [ 276/519] MCPL.TA            OK  price=5138.0
  [ 277/519] MDIN.TA            OK  price=123.0
  [ 278/519] MDPR.TA            OK  price=663.4000244140625
  [ 279/519] MDTR.TA            OK  price=1770.0
  [ 280/519] MEDN.TA            OK  price=31710.0
  [ 281/519] MGDL.TA            OK  price=1606.0
  [ 282/519] MGDO.TA            OK  price=745.7999877929688
  [ 283/519] MGOR.TA            OK  price=51300.0
  [ 284/519] MGRT.TA            OK  price=812.9000244140625
  [ 285/519] MIA.TA             OK  price=60.400001525878906
  [ 286/519] MIFT.TA            OK  price=90.4000015258789
  [ 287/519] MISH.TA            OK  price=38350.0
  [ 288/519] MLRN.TA            OK  price=1450.0
  [ 289/519] MLSR.TA            OK  price=40050.0
  [ 290/519] MLTH.TA            OK  price=14940.0
  [ 291/519] MLTM.TA            OK  price=8399.0
  [ 292/519] MMHD.TA            OK  price=44800.0
  [ 293/519] MNIF.TA            OK  price=2518.0
  [ 294/519] MNIN.TA            OK  price=1618.0
  [ 295/519] MNRA.TA            OK  price=160.1
  [ 296/519] MNRT.TA            OK  price=216.1999969482422
  [ 297/519] MNRV.TA            OK  price=1984.0
  [ 298/519] MPP.TA             OK  price=1344.0
  [ 299/519] MRG.TA             OK  price=744.5999755859375
  [ 300/519] MRHL.TA            OK  price=180.10000610351562
  [ 301/519] MRIN.TA            OK  price=3680.0
  [ 302/519] MSBI.TA            OK  price=104.0999984741211
  [ 303/519] MSHR.TA            OK  price=453.3999938964844
  [ 304/519] MSKE.TA            OK  price=1100.0
  [ 305/519] MSLA.TA            OK  price=1565.0
  [ 306/519] MSVT.TA            OK  price=154.10000610351562
  [ 307/519] MTAV.TA            OK  price=11100.0
  [ 308/519] MTLF.TA            OK  price=339.70001220703125
  [ 309/519] MTRD.TA            OK  price=2298.0
  [ 310/519] MTRN.TA            OK  price=265.0
  [ 311/519] MTRX.TA            OK  price=8754.0
  [ 312/519] MUTG.TA            OK  price=404.0
  [ 313/519] MVNE.TA            OK  price=1301.0
  [ 314/519] MYDS.TA            OK  price=41.70000076293945
  [ 315/519] MZTF.TA            OK  price=23200.0
  [ 316/519] NAWI.TA            OK  price=5241.0
  [ 317/519] NFTA.TA            OK  price=2631.0
  [ 318/519] NICE.TA            OK  price=35300.0
  [ 319/519] NISA.TA            OK  price=878.2999877929688
  [ 320/519] NOFR.TA            OK  price=14440.0
  [ 321/519] NRGN.TA            OK  price=252.3000030517578
  [ 322/519] NSTR.TA            OK  price=832.0
  [ 323/519] NTGR.TA            OK  price=1077.0
  [ 324/519] NTML.TA            OK  price=15950.0
  [ 325/519] NTNB.TA            OK  price=194.3000030517578
  [ 326/519] NTO.TA             OK  price=26000.0
  [ 327/519] NURI.TA            OK  price=821.4000244140625
  [ 328/519] NVLG.TA            OK  price=101.30000305175781
  [ 329/519] NVMI.TA            OK  price=139900.0
  [ 330/519] NVPT.TA            OK  price=13000.0
  [ 331/519] NWMD.TA            OK  price=1804.0
  [ 332/519] NXSN.TA            OK  price=30450.0
  [ 333/519] NXTM.TA            OK  price=812.0999755859375
  [ 334/519] NYAX.TA            OK  price=18200.0
  [ 335/519] OMCN.TA            OK  price=1519.0
  [ 336/519] ONE.TA             OK  price=6010.0
  [ 337/519] OPAL.TA            OK  price=313.0
  [ 338/519] OPCE.TA            OK  price=10960.0
  [ 339/519] OPK.TA             OK  price=361.8999938964844
  [ 340/519] ORA.TA             OK  price=35080.0
  [ 341/519] ORAD.TA            OK  price=140.3000030517578
  [ 342/519] ORIN.TA            OK  price=2312.0
  [ 343/519] ORL.TA             OK  price=137.5
  [ 344/519] ORMP.TA            OK  price=1051.0
  [ 345/519] ORNP.TA            OK  price=304.3999938964844
  [ 346/519] ORON.TA            OK  price=2055.0
  [ 347/519] ORTC.TA            OK  price=884.7000122070312
  [ 348/519] OVRS.TA            OK  price=598.0
  [ 349/519] PAYT.TA            OK  price=6427.0
  [ 350/519] PAZ.TA             OK  price=79300.0
  [ 351/519] PCBT.TA            OK  price=1735.0
  [ 352/519] PEN.TA             OK  price=264.3999938964844
  [ 353/519] PERI.TA            OK  price=3067.0
  [ 354/519] PHOE.TA            OK  price=16320.0
  [ 355/519] PHTM.TA            OK  price=2094.0
  [ 356/519] PIES.TA            OK  price=3212.0
$PLCR.TA: possibly delisted; no price data found  (period=5d)
  [ 357/519] PLCR.TA            OK  price=601.0999755859375
  [ 358/519] PLRM.TA            OK  price=5041.0
  [ 359/519] PLSM.TA            OK  price=1034.0
  [ 360/519] PLSN.TA            OK  price=15570.0
  [ 361/519] PLUR.TA            OK  price=1076.0
  [ 362/519] PMNT.TA            OK  price=682.7999877929688
  [ 363/519] PMVM.TA            OK  price=76.80000305175781
  [ 364/519] PNRG.TA            OK  price=190.0
  [ 365/519] POLI.TA            OK  price=7500.0
  [ 366/519] POLP.TA            OK  price=842.0
  [ 367/519] POLY.TA            OK  price=5265.0
  [ 368/519] PPBT.TA            OK  price=1.0
  [ 369/519] PPIL.TA            OK  price=570.2999877929688
  [ 370/519] PRDM.TA            OK  price=695.5999755859375
  [ 371/519] PRIM.TA            OK  price=3189.0
  [ 372/519] PRKM.TA            OK  price=418.20001220703125
  [ 373/519] PRMG.TA            OK  price=1414.0
  [ 374/519] PRPD.TA            OK  price=2299.0
  [ 375/519] PRSK.TA            OK  price=15200.0
  [ 376/519] PRTC.TA            OK  price=26670.0
  [ 377/519] PSRX.TA            OK  price=121.0
  [ 378/519] PTBL.TA            OK  price=33120.0
  [ 379/519] PTCH.TA            OK  price=318.0
  [ 380/519] PTNR.TA            OK  price=3651.0
  [ 381/519] PTX.TA             OK  price=34.0
  [ 382/519] QLTU.TA            OK  price=57800.0
  [ 383/519] QNCO.TA            OK  price=887.7000122070312
  [ 384/519] RANI.TA            OK  price=436.1000061035156
  [ 385/519] RATI.TA            OK  price=459.0
  [ 386/519] RAVD.TA            OK  price=666.7000122070312
  [ 387/519] REKA.TA            OK  price=1155.0
  [ 388/519] RENT.TA            OK  price=947.0999755859375
  [ 389/519] RGAS.TA            OK  price=100.4000015258789
  [ 390/519] RIMO.TA            OK  price=4184.0
  [ 391/519] RIT1.TA            OK  price=2250.0
  [ 392/519] RLCO.TA            OK  price=4171.0
  [ 393/519] RLRE.TA            OK  price=3802.0
  [ 394/519] RMLI.TA            OK  price=37270.0
  [ 395/519] RMN.TA             OK  price=1132.0
  [ 396/519] RMON.TA            OK  price=11040.0
  [ 397/519] ROBO.TA            OK  price=62.900001525878906
  [ 398/519] ROTS.TA            OK  price=8004.0
  [ 399/519] RPAC.TA            OK  price=8310.0
  [ 400/519] RPOL.TA            OK  price=3880.0
  [ 401/519] RSEL.TA            OK  price=1563.0
  [ 402/519] RTEN.TA            OK  price=71.9000015258789
  [ 403/519] RTLS.TA            OK  price=3355.0
  [ 404/519] RTPT.TA            OK  price=35.0
  [ 405/519] RTSN.TA            OK  price=3265.0
  [ 406/519] RVL.TA             OK  price=221.39999389648438
  [ 407/519] RZR.TA             OK  price=685.0
  [ 408/519] SADE.TA            OK  price=500.0
  [ 409/519] SAE.TA             OK  price=4524.0
  [ 410/519] SANO1.TA           OK  price=39270.0
  [ 411/519] SARN.TA            OK  price=49.79999923706055
  [ 412/519] SBEN.TA            OK  price=331.5
  [ 413/519] SCC.TA             OK  price=248.10000610351562
  [ 414/519] SCDX.TA            OK  price=176.89999389648438
  [ 415/519] SCOP.TA            OK  price=19950.0
  [ 416/519] SEMG.TA            OK  price=267.0
  [ 417/519] SFRN.TA            OK  price=696.5999755859375
  [ 418/519] SHAN.TA            OK  price=938.2999877929688
  [ 419/519] SHGR.TA            OK  price=2179.0
  [ 420/519] SHMM.TA            OK  price=193.8000030517578
  [ 421/519] SHNP.TA            OK  price=1653.0
  [ 422/519] SHOM.TA            OK  price=788.7999877929688
  [ 423/519] SHVA.TA            OK  price=2424.0
  [ 424/519] SHVL.TA            OK  price=848.4000244140625
  [ 425/519] SKBN.TA            OK  price=1756.0
  [ 426/519] SKLN.TA            OK  price=341.3999938964844
  [ 427/519] SLARL.TA           OK  price=1028.0
  [ 428/519] SLRM.TA            OK  price=1190.0
  [ 429/519] SMAG.TA            OK  price=153.1999969482422
  [ 430/519] SMNR.TA            OK  price=1670.0
  [ 431/519] SMSH.TA            OK  price=1821.0
  [ 432/519] SMT.TA             OK  price=5499.0
  [ 433/519] SNCM.TA            OK  price=134.60000610351562
  [ 434/519] SNEL.TA            OK  price=1800.0
  [ 435/519] SNFL.TA            OK  price=1019.0
  [ 436/519] SOFW.TA            OK  price=3837.0
  [ 437/519] SOLR.TA            OK  price=7486.0
  [ 438/519] SOLT.TA            OK  price=295.79998779296875
  [ 439/519] SONO.TA            OK  price=47.1
  [ 440/519] SONR.TA            OK  price=3863.0
  [ 441/519] SPDV.TA            OK  price=312.0
  [ 442/519] SPEN.TA            OK  price=3751.0
  [ 443/519] SPGS.TA            OK  price=2333.0
  [ 444/519] SPNTC.TA           OK  price=277.70001220703125
  [ 445/519] SPRG.TA            OK  price=542.0
  [ 446/519] SRAC.TA            OK  price=5779.0
  [ 447/519] SRFT.TA            OK  price=4282.0
  [ 448/519] STEC.TA            OK  price=279.3999938964844
  [ 449/519] STG.TA             OK  price=5898.0
  [ 450/519] STRG.TA            OK  price=57.900001525878906
  [ 451/519] STRS.TA            OK  price=13080.0
  [ 452/519] STRW.TA            OK  price=3704.0
  [ 453/519] SUGT.TA            OK  price=2179.0
  [ 454/519] TASE.TA            OK  price=14180.0
  [ 455/519] TATT.TA            OK  price=12840.0
  [ 456/519] TAYA.TA            OK  price=4946.0
  [ 457/519] TDRN.TA            OK  price=20030.0
  [ 458/519] TECT.TA            OK  price=186.1999969482422
  [ 459/519] TEDE.TA            OK  price=389.79998779296875
  [ 460/519] TEVA.TA            OK  price=9330.0
  [ 461/519] TFRLF.TA           OK  price=1391.0
  [ 462/519] TGI.TA             OK  price=264.5
  [ 463/519] TGTR.TA            OK  price=279.5
  [ 464/519] THES.TA            OK  price=870.0
  [ 465/519] TIGBUR.TA          OK  price=6611.0
  [ 466/519] TIGI.TA            OK  price=264.79998779296875
  [ 467/519] TKUN.TA            OK  price=2371.0
  [ 468/519] TLSY.TA            OK  price=27220.0
  [ 469/519] TMIS.TA            OK  price=1511.0
  [ 470/519] TMRP.TA            OK  price=3270.0
  [ 471/519] TNDO.TA            OK  price=1164.0
  [ 472/519] TOEN.TA            OK  price=2340.0
  [ 473/519] TOPG.TA            OK  price=1253.0
  [ 474/519] TPGM.TA            OK  price=1554.0
  [ 475/519] TR1016.TA          OK  price=98.0999984741211
  [ 476/519] TR1116.TA          OK  price=97.83000183105469
  [ 477/519] TR1216.TA          OK  price=97.54000091552734
  [ 478/519] TR416.TA           OK  price=99.97000122070312
  [ 479/519] TR516.TA           OK  price=99.68000030517578
  [ 480/519] TR816.TA           OK  price=98.75
  [ 481/519] TR916.TA           OK  price=98.44000244140625
  [ 482/519] TRAN.TA            OK  price=56.0
  [ 483/519] TRLT.TA            OK  price=1721.0
  [ 484/519] TRPZ.TA            OK  price=6660.0
  [ 485/519] TRX.TA             OK  price=707.5
  [ 486/519] TSEM.TA            OK  price=61600.0
  [ 487/519] TSG.TA             OK  price=68500.0
  [ 488/519] TTAM.TA            OK  price=1306.0
  [ 489/519] TURB.TA            OK  price=2015.0
  [ 490/519] TUZA.TA            OK  price=30.0
  [ 491/519] UMH.TA             OK  price=4386.0
  [ 492/519] UNCT.TA            OK  price=292.1000061035156
  [ 493/519] UNIT.TA            OK  price=2207.0
  [ 494/519] UNMI.TA            OK  price=2772.0
  [ 495/519] UNTC.TA            OK  price=102.4000015258789
  [ 496/519] UPSL.TA            OK  price=99.5999984741211
  [ 497/519] URBC.TA            OK  price=827.2999877929688
  [ 498/519] UTRN.TA            OK  price=503.70001220703125
  [ 499/519] VCTR.TA            OK  price=5441.0
  [ 500/519] VILR.TA            OK  price=18000.0
  [ 501/519] VRDS.TA            OK  price=3892.0
  [ 502/519] VRYX.TA            OK  price=233.3000030517578
  [ 503/519] VTNA.TA            OK  price=1983.0
  [ 504/519] WATR.TA            OK  price=385.0
  [ 505/519] WESR.TA            OK  price=1930.0
  [ 506/519] WILC.TA            OK  price=8065.0
  [ 507/519] WILK.TA            OK  price=179.8000030517578
  [ 508/519] WLFD.TA            OK  price=5565.0
  [ 509/519] XTLB.TA            OK  price=2.0
  [ 510/519] YAAZ.TA            OK  price=935.3
  [ 511/519] YACO.TA            OK  price=85.0999984741211
  [ 512/519] YBOX.TA            OK  price=86.0999984741211
  [ 513/519] YBRD.TA            OK  price=708.0999755859375
  [ 514/519] YESD.TA            OK  price=236.89999389648438
  [ 515/519] YHNF.TA            OK  price=36520.0
  [ 516/519] ZNKL.TA            OK  price=4008.0
